,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10
age,17,18,16,17,18,16,17,16,16,18
ethnicity,Asian American,African American,Hispanic/Latino,Caucasian,South Asian,Native American,African American,Hispanic/Latino,South Asian,African American
interests,"['STEM', 'Robotics']","['Music', 'Creative Writing']","['Visual Arts', 'Photography']","['Debate', 'Public Speaking']","['Social Sciences', 'Community Service']","['Environmental Science', 'Sustainability']","['Sports', 'Athletics']","['Social Sciences', 'Public Speaking']","['Biology', 'Healthcare']","['Technology', 'Coding']"
gpa,4.0,3.5,3.7,3.9,3.8,3.6,3.4,3.9,3.7,3.4
test_scores,"{'SAT': 1500, 'ACT': 34}","{'SAT': 1280, 'ACT': 28}","{'SAT': 1420, 'ACT': 32}","{'SAT': 1350, 'ACT': 30}","{'SAT': 1460, 'ACT': 33}","{'SAT': 1290, 'ACT': 29}","{'SAT': 1220, 'ACT': 27}","{'SAT': 1370, 'ACT': 31}","{'SAT': 1410, 'ACT': 32}","{'SAT': 1210, 'ACT': 27}"
preferred_college_location,West Coast,East Coast,Midwest,Northeast,South,West Coast,South,East Coast,West Coast,South
career_interest,Computer Engineering,Music Production,Graphic Design,Law,Public Policy,Environmental Advocacy,Sports Management,Political Science,Medicine,Software Engineering
ap_classes,"['Calculus BC', 'Physics C', 'Computer Science A']","['Music Theory', 'English Literature', 'Studio Art (Drawing)']","['Art History', 'Studio Art (2D Design)', 'Psychology']","['Government and Politics', 'English Language', 'World History']","['Microeconomics', 'Macroeconomics', 'Environmental Science', 'US History']","['Biology', 'Chemistry', 'Environmental Science']","['Statistics', 'Psychology', 'Government and Politics']","['Government and Politics', 'English Language', 'Psychology']","['Biology', 'Chemistry', 'Calculus AB']","['Computer Science A', 'Calculus AB', 'Physics 1']"
extracurriculars,"['Robotics Club', 'Coding Competitions', 'Piano', 'Chess']","['Marching Band', 'Poetry Club', 'Songwriting', 'Photography']","['Art Club', 'Yearbook Committee', 'Traveling', 'Cooking']","['Debate Team', 'Model UN', 'Reading', 'Tennis']","['Volunteer at NGOs', 'Political Awareness Club', 'Op-Ed Writing', 'Hiking']","['Environmental Club', 'Hiking', 'Photography', 'Gardening']","['Varsity Basketball', 'Sports Journalism', 'Coaching', 'Traveling']","['Model UN', 'Debate Team', 'Speaking Competitions', 'Writing']","['Medical Club', 'Biology Olympiad', 'Tennis', 'Hospital Volunteering']","['Coding Club', 'App Development', 'Gaming', 'Basketball']"
college_preferences,"{'campus_size': 'Medium', 'student_teacher_ratio': '15:1', 'clubs': ['Robotics Club'], 'proximity': 'Tech Companies'}","{'campus_size': 'Large', 'student_teacher_ratio': '20:1', 'clubs': ['Creative Writing Workshops'], 'facilities': ['On-campus Recording Studios']}","{'campus_size': 'Small', 'student_teacher_ratio': '12:1', 'clubs': ['Art and Design Club'], 'facilities': ['Design Software Access']}","{'campus_size': 'Medium', 'student_teacher_ratio': '18:1', 'clubs': ['Debate Team', 'Law-Oriented Clubs']}","{'campus_size': 'Large', 'student_teacher_ratio': '16:1', 'clubs': ['Political Science Clubs'], 'activities': ['Community Service']}","{'campus_size': 'Medium', 'student_teacher_ratio': '14:1', 'clubs': ['Environmental Clubs'], 'proximity': 'National Parks'}","{'campus_size': 'Large', 'student_teacher_ratio': '20:1', 'clubs': ['Sports Management Clubs'], 'facilities': ['Sports Facilities']}","{'campus_size': 'Large', 'student_teacher_ratio': '18:1', 'clubs': ['Model UN', 'Debate'], 'activities': ['Public Speaking Workshops']}","{'campus_size': 'Large', 'student_teacher_ratio': '17:1', 'clubs': ['Pre-Med Clubs'], 'facilities': ['Research Hospitals']}","{'campus_size': 'Large', 'student_teacher_ratio': '18:1', 'clubs': ['Tech Clubs'], 'facilities': ['Computer Labs']}"
